title,author,is_loaned,copies,genre,year,is_loaned_dict,popularity,wait_list
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,"{0: 'Yes', 1: 'Yes'}",2,[]
1984,George Orwell,Yes,5,Dystopian,1949,"{0: 'Yes', 1: 'Yes', 2: 'Yes', 3: 'Yes', 4: 'Yes'}",5,[]
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,"{0: 'No', 1: 'No', 2: 'No', 3: 'No'}",0,[]
Moby Dick,Herman Melville,No,1,Adventure,1851,{0: 'No'},3,[]
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,"{0: 'Yes', 1: 'Yes', 2: 'Yes'}",3,[]
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,"{0: 'No', 1: 'No'}",0,[]
Great Expectations,Charles Dickens,No,3,Classic,1861,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,{0: 'Yes'},1,[]
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,{0: 'Yes'},1,[]
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,"{0: 'No', 1: 'No'}",0,[]
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,"{0: 'No', 1: 'No', 2: 'No', 3: 'No'}",0,[]
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,"{0: 'Yes', 1: 'Yes'}",2,[]
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
The Iliad,Homer,Yes,1,Epic Poetry,-750,{0: 'Yes'},1,[]
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,"{0: 'No', 1: 'No'}",0,[]
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,{0: 'Yes'},1,[]
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,"{0: 'Yes', 1: 'Yes', 2: 'Yes'}",5,[]
Catch-22,Joseph Heller,No,4,Satire,1961,"{0: 'No', 1: 'No', 2: 'No', 3: 'No'}",0,[]
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,"{0: 'Yes', 1: 'Yes'}",2,[]
Brave New World,Aldous Huxley,No,5,Dystopian,1932,"{0: 'No', 1: 'No', 2: 'No', 3: 'No', 4: 'No'}",0,[]
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,"{0: 'Yes', 1: 'Yes', 2: 'Yes'}",3,[]
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,"{0: 'No', 1: 'No'}",0,[]
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,{0: 'Yes'},1,[]
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,"{0: 'Yes', 1: 'Yes', 2: 'Yes', 3: 'Yes'}",4,[]
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,"{0: 'Yes', 1: 'Yes'}",2,[]
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,"{0: 'No', 1: 'No', 2: 'No', 3: 'No', 4: 'No', 5: 'No', 6: 'No'}",0,[]
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,"{0: 'Yes', 1: 'Yes', 2: 'Yes', 3: 'Yes', 4: 'Yes'}",5,[]
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,"{0: 'Yes', 1: 'Yes', 2: 'Yes', 3: 'Yes'}",4,[]
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,"{0: 'No', 1: 'No', 2: 'No'}",0,[]
The Odyssey,Homer,Yes,2,Epic Poetry,-800,"{0: 'Yes', 1: 'Yes'}",3,"[{'name': 'shir', 'phone': '054528'}]"
dbeh1,12,No,5,Fantasy,11,"{0: 'No', 1: 'No', 2: 'No', 3: 'No', 4: 'No'}",0,[]
frfv,ed,No,5,Epic Poetry,122,"{0: 'No', 1: 'No', 2: 'No', 3: 'No', 4: 'No'}",1,[]
